,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,motif_14,motif_15,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Huskies,2.8330550000000585,36.504554999999975,2,0,50,36.0,-14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
1,Opponent5,36.504554999999975,38.66371399999979,0,0,38,40.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,38.66371399999979,40.747615000000216,0,0,32,45.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
3,Huskies,40.747615000000216,54.148757999999816,2,1,59,81.0,22.0,0.0,2,0,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,4,1.0,,,True,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,
4,Opponent5,54.148757999999816,64.61123499999985,2,0,1,15.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Opponent5,64.61123499999985,73.97591499999999,0,0,73,78.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Opponent5,73.97591499999999,88.19684800000003,0,0,55,70.0,15.0,0.0,6,0,1.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Huskies,88.19684800000003,161.6905069999998,8,0,26,35.0,9.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
8,Huskies,161.6905069999998,185.20127199999982,2,0,26,41.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
9,Huskies,185.20127199999982,230.8184150000002,1,0,34,30.0,-4.0,1.0,6,0,1.0,1,0.0,0,0.0,1.0,0,0.0,0,0.0,5,0.0,True,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,
10,Opponent5,230.8184150000002,250.609978,4,0,50,45.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,250.609978,254.43892300000016,2,0,71,83.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,
12,Opponent5,254.43892300000016,306.38924,0,0,15,1.0,-14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Huskies,306.38924,321.0993370000001,0,0,55,30.0,-25.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,True,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,
14,Opponent5,321.0993370000001,327.53999900000014,1,0,7,13.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Huskies,327.53999900000014,353.06579999999985,2,0,71,46.0,-25.0,1.0,6,1,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,7,1.0,,,True,,,True,True,True,True,,,True,,,,True,,,,,,,,,,,,,,
16,Opponent5,353.06579999999985,395.90416300000015,1,1,71,87.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,395.90416300000015,406.18365799999987,0,0,44,65.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
18,Huskies,406.18365799999987,436.7979500000001,2,0,13,44.0,31.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,,,,,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,
19,Opponent5,436.7979500000001,604.7783960000003,7,0,60,72.0,12.0,9.0,26,9,13.0,5,1.0,12,2.0,3.0,4,1.0,1,0.0,16,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Huskies,604.7783960000003,620.8528820000001,2,0,71,60.0,-11.0,0.0,3,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,4,0.0,True,,,,,True,,,True,,,True,True,,,,,,,,,,,,,,,,,
21,Opponent5,620.8528820000001,627.4997279999998,0,0,20,26.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Huskies,627.4997279999998,673.9128970000003,2,0,27,72.0,45.0,5.0,19,4,6.0,0,0.0,5,0.0,1.0,0,0.0,0,0.0,15,2.0,True,,True,True,,True,True,True,True,True,,,True,,,True,,,,,,,,,,,,,,
23,Opponent5,673.9128970000003,719.603298,2,0,28,39.0,11.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Opponent5,719.603298,750.3434360000001,2,0,68,85.0,17.0,4.0,8,4,3.0,2,0.0,4,1.0,2.0,2,0.0,0,0.0,8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Huskies,750.3434360000001,781.2742149999998,1,0,47,65.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,
26,Huskies,781.2742149999998,803.405585,0,0,31,91.0,60.0,2.0,9,3,4.0,1,0.0,5,1.0,1.0,1,0.0,0,0.0,8,2.0,True,,True,,,True,,,,,,True,True,,,True,,,,,,,,,,,,,,
27,Opponent5,803.405585,809.5728749999997,0,0,14,16.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Huskies,809.5728749999997,812.6347609999997,0,0,75,47.0,-28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,
29,Opponent5,812.6347609999997,817.4108209999998,2,0,26,59.0,33.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Huskies,817.4108209999998,880.7574789999999,5,0,43,62.0,19.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,True,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
31,Huskies,880.7574789999999,949.5565339999997,2,0,63,37.0,-26.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,5,0.0,True,,True,,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,
32,Huskies,949.5565339999997,984.3247689999997,1,1,60,76.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,
33,Huskies,984.3247689999997,1009.2068539999999,2,0,57,16.0,-41.0,1.0,1,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,1.0,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
34,Opponent5,1009.2068539999999,1036.8428290000004,4,0,34,46.0,12.0,1.0,3,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Opponent5,1036.8428290000004,1050.496859,2,0,42,64.0,22.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Huskies,1050.496859,1190.9495509999995,7,0,45,21.0,-24.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
37,Opponent5,1190.9495509999995,1196.1847019999996,2,0,55,69.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Huskies,1196.1847019999996,1207.0432560000002,1,0,33,61.0,28.0,0.0,3,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,3,0.0,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,
39,Huskies,1207.0432560000002,1254.6759929999996,0,0,43,44.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,
40,Huskies,1254.6759929999996,1283.2861970000004,3,0,57,59.0,2.0,0.0,3,0,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,5,1.0,True,,,,,True,,True,True,,,True,,,,,,,,,,,,,,,,,,
41,Huskies,1283.2861970000004,1300.2377180000005,0,0,62,70.0,8.0,3.0,6,6,3.0,6,3.0,6,3.0,2.0,6,3.0,6,2.0,6,3.0,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
42,Opponent5,1300.2377180000005,1314.7145200000004,2,0,33,59.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Huskies,1314.7145200000004,1394.262471,8,0,24,78.0,54.0,5.0,20,2,6.0,1,0.0,2,0.0,2.0,0,0.0,0,0.0,14,1.0,True,,True,True,,True,,,,True,True,True,,,,True,,,,,,,,,,,,,,
44,Opponent5,1394.262471,1402.022478,0,0,45,46.0,1.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Huskies,1402.022478,1413.7233850000002,2,0,12,38.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
46,Opponent5,1413.7233850000002,1527.5680140000006,14,1,33,90.0,57.0,0.0,5,0,1.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Huskies,1527.5680140000006,1542.882461,0,0,63,77.0,14.0,1.0,2,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,4,1.0,True,,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
48,Opponent5,1542.882461,1549.0523860000005,0,0,16,30.0,14.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Huskies,1549.0523860000005,1561.6617020000006,4,0,64,76.0,12.0,0.0,3,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,4,0.0,True,,,True,,True,,,,,,True,,,,True,,,,,,,,,,,,,,
50,Opponent5,1561.6617020000006,1641.1851399999994,6,0,29,47.0,18.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
