,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,motif_14,motif_15,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Opponent10,2.9514570000001186,26.672086999999923,0,0,51,36.0,-15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,26.672086999999923,47.92443899999989,3,0,32,11.0,-21.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,True,,
2,Opponent10,47.92443899999989,81.8181679999998,3,0,53,50.0,-3.0,0,4,0,2,0,0,0,0,3,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Opponent10,81.8181679999998,87.93009399999983,1,0,24,34.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huskies,87.93009399999983,143.6732280000001,4,0,55,43.0,-12.0,4,9,3,7,0,1,4,1,6,2,1,1,0,5,6,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,,True,True,,
5,Huskies,143.6732280000001,147.51314000000005,2,0,49,53.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Huskies,147.51314000000005,158.4507950000002,0,0,45,55.0,10.0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,True,,True,,,,True,,,,,,,,,,,,,True,,,,,,,,,,
7,Opponent10,158.4507950000002,168.70203700000005,0,0,46,65.0,19.0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Opponent10,168.70203700000005,192.55888499999992,0,0,44,67.0,23.0,1,3,1,0,0,0,0,0,0,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Opponent10,192.55888499999992,237.50412000000009,2,0,65,52.0,-13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Huskies,237.50412000000009,247.07773099999986,2,0,11,42.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,True,,,True,,,,,True,,,,,,,,,,,,,,,,,,
11,Huskies,247.07773099999986,251.55390100000028,1,0,54,73.0,19.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,True,,,,True,,,,True,,,,,,,,,,
12,Opponent10,251.55390100000028,287.861398,5,0,33,30.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Huskies,287.861398,296.2561719999999,5,0,86,90.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,
14,Opponent10,296.2561719999999,345.558059,8,0,17,38.0,21.0,2,5,0,0,0,0,0,0,3,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Huskies,345.558059,353.8517860000002,0,0,11,36.0,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,True,,,,,,,,,True,,,,,,,,,,,,,,True,,,
16,Opponent10,353.8517860000002,390.50452700000005,4,0,30,8.0,-22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,390.50452700000005,402.15977900000007,2,0,57,59.0,2.0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
18,Huskies,402.15977900000007,434.33392899999984,1,0,89,90.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,True,,,True,,,,,,,,,,,True,,,
19,Opponent10,434.33392899999984,439.58362900000014,0,0,25,44.0,19.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Huskies,439.58362900000014,447.542676,1,0,24,28.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Opponent10,447.542676,466.97973199999984,0,0,47,24.0,-23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Huskies,466.97973199999984,559.7487970000002,2,0,77,42.0,-35.0,10,20,4,10,0,2,5,0,7,2,0,0,0,11,6,True,,True,True,,,,,True,,,,True,,,True,,,,True,,,,,,,True,True,,
23,Opponent10,559.7487970000002,565.6380849999999,0,0,64,56.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Huskies,565.6380849999999,603.3705970000002,2,0,41,56.0,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,
25,Opponent10,603.3705970000002,615.9867899999998,0,0,21,33.0,12.0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Opponent10,615.9867899999998,641.8791649999997,0,0,39,8.0,-31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Huskies,641.8791649999997,663.4422789999999,0,0,74,91.0,17.0,2,4,1,1,0,0,1,0,2,1,0,0,0,5,2,,,,True,,,,,,,,True,True,,,True,,,,,,,,,,,,True,,
28,Opponent10,663.4422789999999,681.0428700000002,0,0,19,26.0,7.0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Huskies,681.0428700000002,765.7624190000001,7,0,5,55.0,50.0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,2,,,,,,,True,,True,,,,True,,,,,,,,,,,,,,,,,
30,Huskies,765.7624190000001,783.8082610000001,0,0,61,66.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,
