,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,motif_14,motif_15,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Opponent5,4.913272000000006,21.60187400000001,0,0,51,45.0,-6.0,2,7,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,21.60187400000001,47.412995000000016,8,0,70,75.0,5.0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,,,,,,True,,,,,,True,,,,,,,,,,,,True,,,,,,
2,Opponent5,47.412995000000016,71.546851,1,0,60,55.0,-5.0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Opponent5,71.546851,76.61898300000001,1,0,63,59.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Opponent5,76.61898300000001,105.208442,1,0,65,72.0,7.0,1,6,1,6,0,0,2,0,3,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Huskies,105.208442,121.55576100000002,3,0,15,20.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6,Opponent5,121.55576100000002,132.50434199999998,4,0,11,77.0,66.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Huskies,132.50434199999998,141.78509000000003,4,0,21,41.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,
8,Opponent5,141.78509000000003,150.37834700000005,0,0,27,28.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Opponent5,150.37834700000005,193.502463,4,0,45,54.0,9.0,0,6,0,2,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Huskies,193.502463,222.964125,2,0,28,69.0,41.0,4,8,2,6,0,1,3,1,4,1,1,1,0,5,4,,,,True,,,,,,,,True,True,,True,,,,,True,,,,True,,,,,,
11,Huskies,222.964125,228.15935299999998,2,0,81,88.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,True,,True,,,,True,,,,,,,,,,,
12,Huskies,228.15935299999998,315.98447400000003,2,3,88,81.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,
13,Huskies,315.98447400000003,324.8208590000001,2,0,45,46.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,True,,,,,,,,,,,,,,,True,True,,,,,,,,,,
14,Opponent5,324.8208590000001,369.69148800000005,6,0,44,80.0,36.0,2,3,2,6,0,0,2,2,0,0,0,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Huskies,369.69148800000005,402.430115,4,0,37,57.0,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,True,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,
16,Opponent5,402.430115,404.800156,2,0,25,57.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,404.800156,409.812601,2,0,59,63.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,
18,Opponent5,409.812601,476.86325300000004,1,0,32,77.0,45.0,2,6,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Huskies,476.86325300000004,533.677427,4,0,52,60.0,8.0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,True,,,,,,True,,,True,,,,,,,,,True,,,,,,
20,Huskies,533.677427,543.698629,2,0,25,43.0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,True,,,,,True,,,,,,,,,,,,True,,,,,,
21,Huskies,543.698629,555.791626,2,0,43,46.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,
22,Opponent5,555.791626,575.109083,0,0,45,57.0,12.0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Huskies,575.109083,590.4651200000001,2,0,27,25.0,-2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,True,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,
24,Huskies,590.4651200000001,625.4551280000001,2,0,67,95.0,28.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,True,,,,True,True,,,,,,,,,,
25,Opponent5,625.4551280000001,677.985937,11,0,9,18.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Huskies,677.985937,730.982516,2,0,67,63.0,-4.0,8,15,6,16,2,2,7,6,7,2,2,0,0,11,8,,,,True,,True,,,,,,True,True,,True,,,,True,,,,,True,,,,,,
27,Opponent5,730.982516,750.0011360000002,2,0,12,3.0,-9.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Opponent5,750.0011360000002,809.6316179999999,2,0,43,88.0,45.0,11,23,6,21,3,0,8,4,10,2,0,0,0,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Opponent5,809.6316179999999,946.218526,1,1,32,53.0,21.0,13,28,8,23,2,1,10,3,6,2,1,1,0,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Opponent5,946.218526,981.964715,7,0,48,40.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Huskies,981.964715,1008.931509,2,0,59,59.0,0.0,1,7,0,1,1,0,0,0,0,0,0,0,0,6,0,,,,,,True,True,True,,,,True,,,True,,,,,,,,,,,,,,,
32,Opponent5,1008.931509,1010.475194,0,0,49,46.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Huskies,1010.475194,1094.630042,7,2,58,49.0,-9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,,,
34,Opponent5,1094.630042,1100.581383,0,0,20,4.0,-16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Huskies,1100.581383,1126.339193,3,0,40,57.0,17.0,1,1,1,2,0,0,1,0,0,0,0,0,0,3,2,,,,True,,True,,True,,,,,,,True,,,,,,,,,,,,,,,
36,Huskies,1126.339193,1127.419455,0,0,89,88.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
37,Huskies,1127.419455,1171.5198599999999,2,0,91,87.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,
38,Opponent5,1171.5198599999999,1242.00246,7,0,72,60.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Opponent5,1242.00246,1255.2587039999999,2,0,31,62.0,31.0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Opponent5,1255.2587039999999,1294.687776,2,0,50,81.0,31.0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Huskies,1294.687776,1327.85615,1,0,47,43.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
