,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Huskies,1.1937410000000457,6.494910999999775,0,0,50,30.0,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent4,6.494910999999775,13.081122999999936,0,0,28,32.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Opponent4,13.081122999999936,26.480970999999954,2,0,28,34.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Opponent4,26.480970999999954,31.40309699999989,0,0,57,59.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huskies,31.40309699999989,37.990519999999826,0,0,27,30.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,
5,Opponent4,37.990519999999826,105.13560000000008,0,1,63,30.0,-33.0,0,1,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Huskies,105.13560000000008,109.32684000000015,0,0,42,30.0,-12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
7,Opponent4,109.32684000000015,142.75993000000014,6,0,33,39.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Opponent4,142.75993000000014,185.29732999999987,8,0,67,30.0,-37.0,0,3,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Opponent4,185.29732999999987,233.648557,2,0,69,30.0,-39.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Opponent4,233.648557,274.31346399999984,2,0,46,30.0,-16.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,274.31346399999984,289.5215210000001,0,0,13,11.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,
12,Opponent4,289.5215210000001,304.9139310000001,0,0,80,30.0,-50.0,0,1,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Huskies,304.9139310000001,352.8714159999999,13,0,12,30.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
14,Huskies,352.8714159999999,359.14642700000013,5,0,63,72.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,
15,Huskies,359.14642700000013,362.59788199999997,0,0,67,73.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
16,Opponent4,362.59788199999997,378.63143499999984,0,0,32,30.0,-2.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,378.63143499999984,403.09114600000015,4,0,27,14.0,-13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
18,Opponent4,403.09114600000015,416.83521100000013,8,0,43,30.0,-13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
