,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Opponent8,1.2752949999999146,8.11285399999997,0,0,50,30.0,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,8.11285399999997,14.938826000000065,0,0,23,30.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
2,Opponent8,14.938826000000065,22.34795299999996,2,0,30,49.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Huskies,22.34795299999996,34.987576999999874,2,0,52,53.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,
4,Huskies,34.987576999999874,60.79832900000019,2,0,11,30.0,19.0,2,8,1,3,0,0,2,0,2,1,0,0,0,,,True,True,,True,,,,True,,,,,True,,,,True,,,,,,,,,,,
5,Huskies,60.79832900000019,86.76592600000004,0,0,45,30.0,-15.0,0,3,0,0,0,0,0,0,0,0,0,0,0,True,,,,,True,,,True,True,,,,,True,,,,,,,,,,,,,,,
6,Huskies,86.76592600000004,94.12361599999987,2,0,72,63.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,
7,Opponent8,94.12361599999987,124.93658800000004,1,0,25,30.0,5.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Opponent8,124.93658800000004,132.22051800000008,1,0,46,30.0,-16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Huskies,132.22051800000008,150.86743500000009,5,0,23,30.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Huskies,150.86743500000009,164.64589699999988,2,0,50,30.0,-20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,
11,Opponent8,164.64589699999988,176.65664699999982,2,0,24,30.0,6.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Opponent8,176.65664699999982,235.06138999999985,0,0,39,30.0,-9.0,5,19,4,15,1,0,6,2,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Opponent8,235.06138999999985,262.9562190000001,4,0,62,30.0,-32.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Huskies,262.9562190000001,272.62638800000013,2,0,27,30.0,3.0,0,2,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,
15,Opponent8,272.62638800000013,296.5107309999998,2,0,43,45.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Opponent8,296.5107309999998,308.2666880000002,4,0,81,82.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,308.2666880000002,311.684796,0,0,38,27.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,
