,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,motif_14,motif_15,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Opponent6,4.52556899999999,11.270874999999991,0,0,50,20.0,-30.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,11.270874999999991,15.209689999999995,4,0,43,49.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,
2,Huskies,15.209689999999995,19.571469000000008,4,0,51,57.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Huskies,19.571469000000008,28.14768100000001,0,0,64,76.0,12.0,0.0,2,0,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,4,1.0,,True,True,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
4,Opponent6,28.14768100000001,30.396466999999998,0,0,20,32.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Huskies,30.396466999999998,34.53913299999999,0,0,63,72.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,
6,Opponent6,34.53913299999999,46.996583999999984,0,0,20,34.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Huskies,46.996583999999984,80.292846,2,0,30,69.0,39.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,True,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
8,Opponent6,80.292846,86.05334499999998,0,0,34,43.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Huskies,86.05334499999998,90.392336,2,0,19,30.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
10,Opponent6,90.392336,183.96175300000002,0,0,63,60.0,-3.0,1.0,6,0,1.0,1,0.0,0,0.0,1.0,0,0.0,0,0.0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,183.96175300000002,191.523624,6,0,43,56.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,
12,Huskies,191.523624,215.411434,0,0,41,61.0,20.0,2.0,5,3,1.0,0,0.0,2,1.0,0.0,0,0.0,0,0.0,7,2.0,True,,True,,,,True,,True,,,True,,,,True,,,,,,,,,,,,,,
13,Opponent6,215.411434,223.334513,0,0,25,28.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Huskies,223.334513,299.297002,4,0,21,77.0,56.0,15.0,39,12,14.0,7,0.0,12,1.0,5.0,5,0.0,0,0.0,21,5.0,True,,True,,,True,True,,True,,,True,,,,True,,,,,True,,,,True,,,,,
15,Opponent6,299.297002,307.515625,0,0,36,52.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Huskies,307.515625,380.39488100000005,4,0,31,34.0,3.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,True,,,,,,,,True,,,,,,,,,,,,True,,,,True,,,,,
17,Huskies,380.39488100000005,386.741237,2,0,74,88.0,14.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,True,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,
18,Opponent6,386.741237,405.14936,0,0,3,5.0,2.0,0.0,3,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Opponent6,405.14936,420.724604,0,1,74,72.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Opponent6,420.724604,426.126068,0,0,98,87.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Opponent6,426.126068,482.984728,0,0,86,98.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Huskies,482.984728,491.023975,6,0,49,59.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,
23,Huskies,491.023975,500.811088,2,0,26,29.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,
24,Huskies,500.811088,507.820865,4,0,78,74.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
25,Opponent6,507.820865,516.508021,0,0,22,33.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Opponent6,516.508021,540.511641,0,0,45,57.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Huskies,540.511641,581.72151,2,0,22,29.0,7.0,4.0,14,2,4.0,2,0.0,2,0.0,1.0,0,0.0,0,0.0,9,1.0,True,,True,,,True,True,,True,,,,,,,,,,,,True,,,,,,,,,
28,Huskies,581.72151,627.054006,7,0,44,73.0,29.0,5.0,14,6,5.0,0,0.0,7,2.0,1.0,0,0.0,0,0.0,13,3.0,,True,True,,,True,,,True,,,True,,,,True,,True,,,True,,,,True,,,,,
29,Huskies,627.054006,650.853679,2,0,74,81.0,7.0,2.0,6,1,1.0,0,0.0,1,0.0,1.0,0,0.0,0,0.0,6,1.0,,True,,,,True,,,,,,True,,,,,,,,,True,,,,True,,,,,
30,Opponent6,650.853679,678.4222219999999,0,0,25,27.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Huskies,678.4222219999999,687.8016150000001,0,0,36,33.0,-3.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,
32,Opponent6,687.8016150000001,707.489957,0,0,19,63.0,44.0,0.0,3,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Opponent6,707.489957,717.266795,0,0,73,76.0,3.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Huskies,717.266795,731.220064,2,0,26,6.0,-20.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,True,,,,True,,,,,True,,,,,,,,,,,,,,,,,,
35,Huskies,731.220064,742.926568,0,0,68,78.0,10.0,1.0,3,1,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,4,1.0,,True,True,,,,,,,,,,,,,True,,,,,,,,,True,,,,,
36,Opponent6,742.926568,752.219118,0,0,22,24.0,2.0,0.0,2,0,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Huskies,752.219118,756.436819,2,0,43,66.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,
38,Opponent6,756.436819,784.524913,0,0,20,31.0,11.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Opponent6,784.524913,804.21685,0,0,28,90.0,62.0,2.0,4,3,2.0,3,1.0,3,1.0,1.0,2,1.0,1,0.0,6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Opponent6,804.21685,852.7085910000002,0,0,78,75.0,-3.0,2.0,7,2,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Huskies,852.7085910000002,855.873333,1,0,21,55.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
