,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Opponent6,0.8990150000000199,25.19115499999998,2,0,49,39.0,-10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent6,25.19115499999998,29.420741000000017,0,0,66,74.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,29.420741000000017,33.58780400000001,1,0,38,59.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Opponent6,33.58780400000001,66.773483,4,0,57,39.0,-18.0,0,2,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huskies,66.773483,75.20732700000002,2,0,25,39.0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,True,,,,,,True,,,,,,,,,,,,,,
5,Opponent6,75.20732700000002,93.85634499999998,6,0,40,39.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Opponent6,93.85634499999998,107.32234,2,0,55,39.0,-16.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Huskies,107.32234,112.20265999999998,2,0,35,39.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,True,,,,,,True,,,,,,,,,,,,,,
8,Opponent6,112.20265999999998,127.57554499999998,1,0,62,39.0,-23.0,0,3,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Huskies,127.57554499999998,167.85652199999996,2,0,24,40.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
10,Opponent6,167.85652199999996,200.215304,5,0,64,39.0,-25.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Opponent6,200.215304,216.344213,0,0,64,87.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Huskies,216.344213,248.863572,4,0,22,39.0,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
13,Huskies,248.863572,329.49925,8,0,88,39.0,-49.0,5,12,0,3,1,0,0,0,6,0,0,0,0,,,True,True,,True,,,,,,True,,,True,True,,,,,,,,,,,,,,
14,Huskies,329.49925,348.9542810000001,3,0,81,39.0,-42.0,1,6,1,4,0,0,1,0,0,0,0,0,0,,,True,True,True,True,,,,,,,,,True,True,,,,,,,,,,,,,,
15,Huskies,348.9542810000001,393.111344,2,1,89,93.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
16,Opponent6,393.111344,401.48708,0,0,33,42.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,401.48708,447.303012,0,0,70,39.0,-31.0,2,12,4,8,0,0,4,0,4,2,0,0,0,,,True,True,True,True,,True,,True,,True,,,True,,,,,,,,,,,,,,,
18,Huskies,447.303012,458.17338400000006,4,0,17,7.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
19,Huskies,458.17338400000006,462.112388,0,0,75,39.0,-36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,True,,,,,True,,,,,,True,,,,,,,,,,,,,,
20,Opponent6,462.112388,481.43405,2,0,7,39.0,32.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Opponent6,481.43405,522.654827,0,0,43,39.0,-4.0,0,2,0,6,0,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Huskies,522.654827,554.370403,0,0,29,39.0,10.0,0,4,0,2,0,0,0,0,3,0,0,0,0,,,True,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,
23,Huskies,554.370403,621.248933,4,0,68,39.0,-29.0,2,4,2,2,0,0,1,0,3,0,0,0,0,,True,True,,True,,,,,True,,,,,,True,,,,,,,,,,,,,,
24,Opponent6,621.248933,634.835815,4,0,35,39.0,4.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Huskies,634.835815,725.183432,5,0,71,74.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Huskies,725.183432,757.89102,0,1,75,39.0,-36.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,True,,,True,,,True,,,,,,,True,,,,,,,,,,,,,,,
27,Huskies,757.89102,763.558949,0,0,29,42.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Opponent6,763.558949,769.976762,2,0,50,47.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Huskies,769.976762,793.5810819999998,6,0,43,39.0,-4.0,0,4,1,3,0,0,2,0,2,1,0,0,0,,,True,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,
30,Opponent6,793.5810819999998,825.1539909999998,2,0,24,28.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Huskies,825.1539909999998,861.434381,2,0,45,39.0,-6.0,4,7,2,4,0,0,1,0,0,0,0,0,0,,,,True,,True,True,True,,True,,True,,,True,,,,,,,,,,,,,,,
32,Opponent6,861.434381,868.3559339999998,0,0,28,5.0,-23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Huskies,868.3559339999998,878.8722170000002,0,0,52,39.0,-13.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,True,True,True,True,,,,,,True,,,,,,,,,,,,,,,,,,
34,Opponent6,878.8722170000002,925.304867,3,0,6,19.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Opponent6,925.304867,931.188922,0,0,35,39.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Huskies,931.188922,954.039785,4,0,24,39.0,15.0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,True,True,,,True,True,,True,,True,,,,,,,,,,,,,,,,,,
37,Opponent6,954.039785,979.221307,0,1,83,80.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Huskies,979.221307,1034.62643,6,0,35,39.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,
39,Opponent6,1034.62643,1044.638322,2,0,69,39.0,-30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Huskies,1044.638322,1055.57341,6,0,14,20.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,
41,Opponent6,1055.57341,1080.460749,1,0,65,39.0,-26.0,0,4,0,2,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Opponent6,1080.460749,1090.152411,2,0,30,39.0,9.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Huskies,1090.152411,1095.443554,0,0,56,39.0,-17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,
44,Opponent6,1095.443554,1138.842653,0,0,21,39.0,18.0,5,13,3,10,0,0,4,2,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Opponent6,1138.842653,1148.003182,1,0,76,39.0,-37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Opponent6,1148.003182,1157.060898,8,0,88,75.0,-13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Huskies,1157.060898,1163.740329,0,0,42,62.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
48,Huskies,1163.740329,1179.052537,3,1,82,84.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
49,Huskies,1179.052537,1235.577274,2,0,53,39.0,-14.0,6,16,6,12,0,2,8,2,9,4,2,2,0,,,True,True,,True,True,True,,,,True,,,,True,,,,,,,,,,,,,,
50,Opponent6,1235.577274,1261.85185,4,0,13,39.0,26.0,0,2,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Huskies,1261.85185,1267.7909550000002,1,0,7,62.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
52,Opponent6,1267.7909550000002,1392.19707,8,0,35,39.0,4.0,3,8,1,2,0,0,1,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
