,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Huskies,2.2424710000000228,22.779521999999808,2,0,49,31.0,-18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
1,Huskies,22.779521999999808,90.72289,8,0,57,31.0,-26.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,True,,,True,True,,,,,True,,,,True,,,,,,,,,,,,,,
2,Opponent6,90.72289,116.50492200000008,0,0,84,31.0,-53.0,0,1,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Huskies,116.50492200000008,165.5702889999998,2,0,75,31.0,-44.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,True,,,,True,,,,,,,,,,,,,,
4,Opponent6,165.5702889999998,191.14696400000003,2,0,54,70.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Opponent6,191.14696400000003,200.91829000000007,2,0,44,72.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Huskies,200.91829000000007,211.89751800000028,4,0,10,44.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
7,Opponent6,211.89751800000028,233.97413099999997,0,1,83,86.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Huskies,233.97413099999997,238.43104200000016,2,0,22,65.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Huskies,238.43104200000016,273.6330429999998,6,0,62,31.0,-31.0,0,6,0,0,0,0,0,0,0,0,0,0,0,True,,True,,,True,True,,True,,,,,,,,,True,,,,,,,,,,,,
10,Opponent6,273.6330429999998,279.96185099999997,1,0,76,81.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,279.96185099999997,285.0295660000002,0,0,22,32.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
12,Opponent6,285.0295660000002,298.01523300000014,0,0,41,31.0,-10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Huskies,298.01523300000014,342.93034799999987,2,0,16,31.0,15.0,2,3,1,1,0,0,1,0,2,1,0,0,0,,,,,,True,,,True,,,,,,,True,,,,,True,,,,,,,,,
14,Opponent6,342.93034799999987,351.189394,1,0,62,45.0,-17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Opponent6,351.189394,359.94729000000007,1,0,71,31.0,-40.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Opponent6,359.94729000000007,367.80975600000016,0,1,74,77.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Opponent6,367.80975600000016,374.11056800000006,2,0,64,74.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Opponent6,374.11056800000006,375.22658600000017,0,0,63,73.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Opponent6,375.22658600000017,611.2337080000002,9,0,71,66.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
