,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Opponent2,1.6955560000000034,37.255054,0,0,49,43.0,-6.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent2,37.255054,43.463685,4,0,33,61.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,43.463685,68.094679,8,0,43,41.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,
3,Opponent2,68.094679,76.259135,2,0,67,9.0,-58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Opponent2,76.259135,96.644054,0,1,91,43.0,-48.0,1,2,1,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Huskies,96.644054,141.13452,2,0,12,28.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6,Opponent2,141.13452,173.929738,0,0,6,43.0,37.0,3,2,2,1,0,0,1,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Huskies,173.929738,208.430173,0,1,38,43.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,
8,Opponent2,208.430173,221.338154,0,0,27,43.0,16.0,0,0,0,2,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Opponent2,221.338154,249.37384900000004,0,0,58,43.0,-15.0,2,3,2,6,0,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
