,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Opponent15,3.1118700000000104,13.954763000000018,0,0,50,33.0,-17.0,2,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,13.954763000000018,26.35167999999999,0,0,37,10.0,-27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2,Opponent15,26.35167999999999,48.74301200000002,0,0,13,33.0,20.0,0,5,0,2,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Huskies,48.74301200000002,65.78400699999997,3,0,34,33.0,-1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,True,,,,,True,,,True,,,,,,,,,
4,Huskies,65.78400699999997,119.99789800000002,3,0,56,33.0,-23.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,True,,,,,,,,True,,,,,,,,,
5,Opponent15,119.99789800000002,163.856874,3,0,47,33.0,-14.0,2,9,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Huskies,163.856874,175.26426999999998,0,0,30,33.0,3.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,
7,Opponent15,175.26426999999998,177.720572,0,0,37,62.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Huskies,177.720572,268.061711,5,0,39,47.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,
9,Opponent15,268.061711,271.495611,2,0,25,39.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Opponent15,271.495611,313.706384,6,1,33,30.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,313.706384,319.6412430000001,0,0,8,27.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,
12,Opponent15,319.6412430000001,369.380191,0,0,27,33.0,6.0,1,3,2,7,0,0,2,4,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Opponent15,369.380191,381.21209500000003,2,0,66,33.0,-33.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Opponent15,381.21209500000003,404.332866,2,0,59,33.0,-26.0,2,6,0,2,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Opponent15,404.332866,476.416714,5,0,64,59.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Opponent15,476.416714,502.708492,4,0,17,33.0,16.0,2,4,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,502.708492,529.64939,4,0,11,33.0,22.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,,,,,,True,,,True,,,,,,,,,
18,Huskies,529.64939,532.737113,2,0,24,29.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,
19,Huskies,532.737113,588.47273,2,0,33,23.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,
20,Opponent15,588.47273,643.951638,8,0,13,55.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Huskies,643.951638,663.11643,3,0,55,68.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Huskies,663.11643,692.247535,2,0,42,33.0,-9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,True,,,,,True,,,True,,,,,,,,,,,,,,,
23,Huskies,692.247535,735.339103,3,0,44,33.0,-11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
24,Opponent15,735.339103,754.415157,5,0,64,61.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Huskies,754.415157,759.029938,3,0,29,24.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,
26,Opponent15,759.029938,761.099347,1,0,65,75.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Huskies,761.099347,817.260855,9,0,23,33.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Opponent15,817.260855,826.8233299999998,2,0,40,29.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Opponent15,826.8233299999998,881.75397,2,0,27,33.0,6.0,2,7,0,2,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Opponent15,881.75397,892.3785600000001,1,0,67,64.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Opponent15,892.3785600000001,953.5756130000001,9,0,69,33.0,-36.0,0,1,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Huskies,953.5756130000001,964.158372,3,0,60,45.0,-15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,
33,Opponent15,964.158372,1033.246996,0,0,27,11.0,-16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Huskies,1033.246996,1056.800919,4,0,29,33.0,4.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,True,True,,,,True,,,,,,,,True,,,,,,,,,,,,,,,
35,Opponent15,1056.800919,1095.982174,7,0,41,23.0,-18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Opponent15,1095.982174,1098.2575960000001,1,0,64,67.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Huskies,1098.2575960000001,1109.8680769999999,1,0,10,33.0,23.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,True,,,,,,,,True,True,,,,,,,,,,,,,,
38,Opponent15,1109.8680769999999,1114.654863,2,0,29,24.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Huskies,1114.654863,1176.810651,4,1,56,33.0,-23.0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,True,True,,True,,,,,,,,,,,,,,,
40,Huskies,1176.810651,1184.675778,1,0,24,11.0,-13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,
41,Opponent15,1184.675778,1221.378288,1,0,71,89.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Huskies,1221.378288,1258.294075,2,0,36,33.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,True,,,,,,,,,,,,True,,,,,,True,,,,,,,,,
43,Opponent15,1258.294075,1260.614925,0,0,71,63.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Huskies,1260.614925,1323.489926,5,0,19,33.0,14.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,,True,,,,,True,,,True,,,,,,,,,
45,Opponent15,1323.489926,1355.541461,4,0,7,22.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Opponent15,1355.541461,1372.478282,1,0,34,33.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Huskies,1372.478282,1468.5351269999999,9,0,10,33.0,23.0,1,4,1,2,0,0,1,0,0,0,0,0,0,,,,True,,,True,True,,,,True,True,,,,,,,,True,,,,,,,,,
48,Opponent15,1468.5351269999999,1503.612976,2,0,70,85.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Huskies,1503.612976,1536.299694,2,1,71,33.0,-38.0,0,1,0,2,0,0,1,0,0,0,0,0,0,,,,True,,,,,,,,True,,,,True,,,,,,,,,,,,,,
50,Huskies,1536.299694,1541.657524,2,0,71,33.0,-38.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,
51,Huskies,1541.657524,1630.9308800000001,5,0,70,33.0,-37.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,True,,True,,,,,,,,,True,,,,,True,,,True,,,,,,,,,
52,Opponent15,1630.9308800000001,1641.6008160000001,1,0,72,33.0,-39.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Huskies,1641.6008160000001,1665.578981,5,0,12,33.0,21.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,True,,True,,,,True,,,,,True,,,True,,,,,,,,,,,,,,
