,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Huskies,1.5897899999999936,17.158268000000135,6,0,48,34.0,-14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,
1,Huskies,17.158268000000135,34.45377599999984,1,0,26,34.0,8.0,2,5,0,0,0,0,0,0,3,0,0,0,0,True,,,,,,True,,,True,,,,,,,,,,,,,,,,True,,True,,
2,Opponent17,34.45377599999984,57.51530400000002,4,0,32,30.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Opponent17,57.51530400000002,62.16265800000019,2,0,37,34.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huskies,62.16265800000019,73.87790499999983,0,0,55,34.0,-21.0,0,3,0,2,0,0,1,0,0,0,0,0,0,True,,,True,,True,,,,,,,,,,,,,,,,,,True,,,,True,,
5,Opponent17,73.87790499999983,92.34949300000015,0,0,23,28.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Huskies,92.34949300000015,116.5861319999999,0,0,57,34.0,-23.0,2,5,2,2,0,0,1,0,0,0,0,0,0,True,,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,True,,
7,Opponent17,116.5861319999999,192.8817829999998,6,0,24,34.0,10.0,0,3,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Opponent17,192.8817829999998,210.41789599999996,2,0,64,34.0,-30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Opponent17,210.41789599999996,257.80233,2,1,65,85.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Opponent17,257.80233,279.73642199999995,2,0,26,34.0,8.0,3,5,1,2,0,0,1,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,279.73642199999995,286.67852799999986,4,0,35,59.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Opponent17,286.67852799999986,290.30171599999994,0,0,34,61.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Huskies,290.30171599999994,417.52452799999986,2,1,57,34.0,-23.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,True,,,,,,,,,,,,,,,True,,,True,,,
14,Opponent17,417.52452799999986,432.22292800000014,2,0,50,34.0,-16.0,0,3,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Opponent17,432.22292800000014,468.15660100000014,7,0,71,81.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Opponent17,468.15660100000014,476.61413600000014,2,1,73,34.0,-39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Opponent17,476.61413600000014,535.0514589999998,13,0,68,83.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Huskies,535.0514589999998,545.7809200000002,0,0,26,34.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
