,pos_x,pos_y
Huskies_D1,30.395833333333332,33.020833333333336
Huskies_F1,72.16666666666667,13.833333333333334
Huskies_M1,50.540983606557376,51.21311475409836
Huskies_F2,50.224137931034484,49.48275862068966
Huskies_M3,48.333333333333336,71.0
Huskies_G1,8.6,48.333333333333336
Huskies_D3,30.21951219512195,69.09756097560975
Huskies_D5,45.142857142857146,13.642857142857142
Huskies_M4,62.714285714285715,56.95238095238095
Huskies_M6,62.861111111111114,28.0
Huskies_F4,63.46875,57.46875
Huskies_F6,61.425,85.75
Huskies_D8,52.76271186440678,91.54237288135593
