,pos_x,pos_y
Huskies_F1,74.45454545454545,48.63636363636363
Huskies_M1,47.506493506493506,40.94805194805195
Huskies_F2,55.93877551020408,38.714285714285715
Huskies_M3,44.94117647058823,63.1764705882353
Huskies_G1,9.535714285714286,47.285714285714285
Huskies_D3,30.710526315789473,35.39473684210526
Huskies_D5,41.45762711864407,18.983050847457626
Huskies_D6,29.379310344827587,70.03448275862068
Huskies_M6,53.0,22.962962962962962
Huskies_M8,57.5,72.44444444444444
Huskies_D7,52.46153846153846,89.15384615384616
Huskies_M12,52.6,66.06666666666666
Huskies_M13,50.166666666666664,59.75
Huskies_F5,65.48275862068965,37.03448275862069
