,pos_x,pos_y
Huskies_D1,30.227848101265824,58.9873417721519
Huskies_F1,68.8,46.76
Huskies_M1,46.593023255813954,54.372093023255815
Huskies_F2,53.75,50.03125
Huskies_M3,43.81818181818182,46.83116883116883
Huskies_G1,12.02,43.68
Huskies_D3,32.91566265060241,31.53012048192771
Huskies_D5,46.458333333333336,17.61111111111111
Huskies_M6,61.76923076923077,30.138461538461538
Huskies_M8,66.16666666666667,74.0
Huskies_F4,70.08333333333333,43.208333333333336
Huskies_D7,49.43636363636364,86.89090909090909
Huskies_M12,62.72727272727273,24.90909090909091
Huskies_M13,55.45945945945946,27.37837837837838
