,pos_x,pos_y
Huskies_D1,29.847826086956523,72.06521739130434
Huskies_M1,47.24074074074074,38.648148148148145
Huskies_F2,59.02272727272727,55.93181818181818
Huskies_G1,10.482758620689655,48.58620689655172
Huskies_D2,31.822222222222223,48.44444444444444
Huskies_D3,30.962962962962962,23.203703703703702
Huskies_D4,45.083333333333336,9.11111111111111
Huskies_F3,61.3125,57.8125
Huskies_M4,44.666666666666664,48.5
Huskies_D6,47.483870967741936,83.93548387096774
Huskies_M6,57.666666666666664,36.80952380952381
