,pos_x,pos_y
Huskies_D1,38.888888888888886,31.11111111111111
Huskies_F1,56.285714285714285,64.28571428571429
Huskies_M3,52.42857142857143,41.476190476190474
Huskies_G1,13.5,49.5
Huskies_D2,34.0,51.857142857142854
Huskies_D5,54.56521739130435,11.652173913043478
Huskies_M4,55.2,55.3
Huskies_D6,39.11764705882353,79.0
Huskies_M6,60.5625,34.875
Huskies_M8,73.4,53.266666666666666
Huskies_F4,73.81818181818181,37.27272727272727
Huskies_D7,54.23529411764706,84.05882352941177
Huskies_M11,72.0,21.0
Huskies_M12,73.57142857142857,48.857142857142854
