,pos_x,pos_y
Huskies_D1,38.69230769230769,64.78846153846153
Huskies_M1,51.741573033707866,58.168539325842694
Huskies_M2,56.4,63.63333333333333
Huskies_M3,45.3134328358209,47.19402985074627
Huskies_G1,12.76923076923077,50.0
Huskies_D3,32.43333333333333,57.9
Huskies_D4,52.54,10.12
Huskies_M4,58.38709677419355,51.5
Huskies_F4,65.88888888888889,51.96296296296296
Huskies_M12,67.6,92.4
Huskies_F5,72.47619047619048,43.38095238095238
Huskies_F6,68.08333333333333,29.125
Huskies_D8,56.707317073170735,86.17073170731707
Huskies_D10,33.5,13.083333333333334
