,pos_x,pos_y
Huskies_D1,32.3448275862069,35.44827586206897
Huskies_F1,59.625,71.625
Huskies_M1,43.294117647058826,53.529411764705884
Huskies_F2,46.592592592592595,50.48148148148148
Huskies_M3,43.0,39.0
Huskies_G1,9.25,39.375
Huskies_D3,37.18518518518518,62.370370370370374
Huskies_D4,42.041666666666664,11.041666666666666
Huskies_M4,55.76190476190476,45.523809523809526
Huskies_F4,63.0,72.0
Huskies_M12,61.166666666666664,79.5
Huskies_F5,67.875,24.5
Huskies_F6,69.11111111111111,15.333333333333334
Huskies_D8,48.714285714285715,82.57142857142857
