,pos_x,pos_y
Huskies_D1,33.75,36.375
Huskies_F1,58.89473684210526,27.36842105263158
Huskies_M1,40.5625,44.8125
Huskies_G1,11.285714285714286,46.0
Huskies_D2,31.666666666666668,83.41666666666667
Huskies_D5,40.291666666666664,13.083333333333334
Huskies_M4,51.63157894736842,48.10526315789474
Huskies_M6,51.535714285714285,33.857142857142854
Huskies_M8,66.73333333333333,75.06666666666666
Huskies_F5,62.142857142857146,30.476190476190474
Huskies_F6,64.27272727272727,71.9090909090909
Huskies_D8,47.0,85.75
