,pos_x,pos_y
Huskies_D1,41.44444444444444,31.333333333333332
Huskies_F1,66.33333333333333,32.5
Huskies_F2,43.5,93.5
Huskies_M3,44.04761904761905,41.57142857142857
Huskies_G1,8.363636363636363,47.27272727272727
Huskies_D3,27.210526315789473,72.42105263157895
Huskies_D4,47.76190476190476,16.19047619047619
Huskies_M4,64.92307692307692,43.23076923076923
Huskies_F4,71.8,73.8
Huskies_M11,49.3,81.5
Huskies_M12,71.83333333333333,14.833333333333334
Huskies_F5,98.0,91.0
Huskies_F6,77.6,80.0
Huskies_D8,55.44444444444444,92.66666666666667
