,pos_x,pos_y
Huskies_D1,36.47727272727273,78.29545454545455
Huskies_F1,68.0909090909091,56.72727272727273
Huskies_M1,50.24390243902439,47.58536585365854
Huskies_F2,62.0,46.225806451612904
Huskies_M3,46.578947368421055,55.26315789473684
Huskies_G1,12.263157894736842,51.78947368421053
Huskies_D2,31.454545454545453,60.04545454545455
Huskies_D3,39.6551724137931,26.896551724137932
Huskies_D4,59.3,14.4
Huskies_F3,61.8,56.1
Huskies_D5,48.8,91.31428571428572
Huskies_M4,66.7,78.1
Huskies_M5,57.45454545454545,43.72727272727273
Huskies_M6,55.0,58.36363636363637
