,pos_x,pos_y
Huskies_F1,74.0,22.357142857142858
Huskies_M1,45.46938775510204,42.0
Huskies_F2,48.10344827586207,34.51724137931034
Huskies_M3,49.55555555555556,42.72222222222222
Huskies_G1,11.4,44.7
Huskies_D2,33.80952380952381,30.857142857142858
Huskies_D5,49.26923076923077,10.346153846153847
Huskies_M4,49.61904761904762,54.38095238095238
Huskies_D6,29.06451612903226,66.7741935483871
Huskies_M6,63.73684210526316,21.42105263157895
Huskies_M8,66.57142857142857,77.14285714285714
Huskies_D7,54.5,89.38888888888889
Huskies_M10,62.57142857142857,61.714285714285715
