,pos_x,pos_y
Huskies_D1,32.0,71.52173913043478
Huskies_F1,61.0,78.0
Huskies_F2,54.47540983606557,41.09836065573771
Huskies_M3,52.5,52.08620689655172
Huskies_G1,9.6,44.8
Huskies_D2,36.25,34.21875
Huskies_D5,49.13333333333333,14.466666666666667
Huskies_M4,60.529411764705884,49.1764705882353
Huskies_D6,65.74,90.04
Huskies_M8,55.3,16.5
Huskies_M9,70.08888888888889,72.15555555555555
Huskies_F4,72.87096774193549,53.38709677419355
Huskies_M12,62.911764705882355,19.676470588235293
Huskies_M13,57.05555555555556,51.22222222222222
