,pos_x,pos_y
Huskies_D1,38.278481012658226,69.75949367088607
Huskies_F1,69.3076923076923,55.07692307692308
Huskies_M1,52.26548672566372,58.07079646017699
Huskies_F2,57.851851851851855,51.851851851851855
Huskies_M3,53.0,44.696969696969695
Huskies_G1,15.379310344827585,49.55172413793103
Huskies_D2,44.81521739130435,36.28260869565217
Huskies_D4,62.04705882352941,11.670588235294117
Huskies_F3,66.3,53.4
Huskies_D5,53.10989010989011,89.01098901098901
Huskies_M4,70.52631578947368,43.8421052631579
Huskies_M6,69.41818181818182,41.472727272727276
Huskies_M9,62.43333333333333,69.46666666666667
Huskies_F4,73.96969696969697,37.09090909090909
