,pos_x,pos_y
Huskies_D1,39.25,38.5625
Huskies_F1,59.54545454545455,69.18181818181819
Huskies_M1,49.303030303030305,68.27272727272727
Huskies_M3,50.42857142857143,53.92857142857143
Huskies_G1,10.846153846153847,46.15384615384615
Huskies_D3,30.90909090909091,70.4090909090909
Huskies_D4,45.0,11.62962962962963
Huskies_F3,69.71428571428571,35.0
Huskies_M4,49.07692307692308,41.46153846153846
Huskies_M6,55.275862068965516,33.86206896551724
Huskies_M8,54.06666666666667,89.73333333333333
Huskies_F4,67.47826086956522,41.34782608695652
Huskies_D7,37.4,85.8
Huskies_M10,51.0,9.6
