,pos_x,pos_y
Huskies_F1,59.93333333333333,55.266666666666666
Huskies_M1,39.52777777777778,46.22222222222222
Huskies_F2,40.26470588235294,28.529411764705884
Huskies_G1,8.333333333333334,41.44444444444444
Huskies_D2,28.27777777777778,29.11111111111111
Huskies_D5,36.60606060606061,10.606060606060606
Huskies_M4,45.38709677419355,60.903225806451616
Huskies_D6,34.388888888888886,67.83333333333333
Huskies_M6,64.77777777777777,42.03703703703704
Huskies_M8,52.13793103448276,25.93103448275862
Huskies_M9,64.2,43.4
Huskies_D7,46.142857142857146,78.33333333333333
Huskies_M10,53.833333333333336,12.5
Huskies_M11,39.833333333333336,49.666666666666664
