,pos_x,pos_y
Huskies_D1,34.04,75.24
Huskies_F1,58.72222222222222,40.94444444444444
Huskies_M1,55.17741935483871,49.54838709677419
Huskies_M3,51.56410256410256,55.85897435897436
Huskies_G1,13.423076923076923,45.38461538461539
Huskies_D2,37.732142857142854,66.14285714285714
Huskies_D5,56.416666666666664,19.25
Huskies_M4,67.07407407407408,33.74074074074074
Huskies_F4,76.46666666666667,42.166666666666664
Huskies_D7,58.28767123287671,90.17808219178082
Huskies_M12,66.8529411764706,50.05882352941177
Huskies_F5,65.14285714285714,37.0
Huskies_F6,67.73076923076923,72.03846153846153
Huskies_D9,39.40625,30.3125
