,pos_x,pos_y
Huskies_D1,33.794117647058826,35.72549019607843
Huskies_F1,59.625,71.625
Huskies_M1,51.40909090909091,52.06060606060606
Huskies_F2,53.03846153846154,53.47435897435897
Huskies_M3,44.25,45.529411764705884
Huskies_G1,9.75,47.25
Huskies_D3,39.50561797752809,68.92134831460675
Huskies_D4,45.86746987951807,14.421686746987952
Huskies_M4,55.76190476190476,45.523809523809526
Huskies_F4,63.0,72.0
Huskies_M12,66.86111111111111,28.77777777777778
Huskies_F5,71.32,48.88
Huskies_F6,64.675,63.95
Huskies_D8,54.265306122448976,86.75510204081633
