,pos_x,pos_y
Huskies_D1,41.958333333333336,34.208333333333336
Huskies_F1,80.66666666666667,62.333333333333336
Huskies_M1,49.78125,65.375
Huskies_F2,52.70967741935484,43.0
Huskies_G1,17.857142857142858,43.714285714285715
Huskies_D2,36.4,73.8
Huskies_D5,58.72727272727273,7.863636363636363
Huskies_M4,48.611111111111114,68.5
Huskies_M6,68.61538461538461,37.69230769230769
Huskies_F4,64.0,64.66666666666667
Huskies_D7,61.78260869565217,87.65217391304348
Huskies_M12,62.142857142857146,28.714285714285715
Huskies_F5,68.2,44.6
Huskies_F6,58.0,87.84375
