,pos_x,pos_y
Huskies_D1,37.11538461538461,27.384615384615383
Huskies_F1,67.5111111111111,44.888888888888886
Huskies_M1,48.36923076923077,43.15384615384615
Huskies_M3,49.38,50.52
Huskies_G1,12.083333333333334,46.375
Huskies_D2,31.741935483870968,49.516129032258064
Huskies_D3,37.94230769230769,73.82692307692308
Huskies_D4,49.125,8.125
Huskies_M5,64.73684210526316,58.94736842105263
Huskies_M6,56.526315789473685,32.31578947368421
Huskies_M8,55.5,86.62
Huskies_M9,58.285714285714285,76.28571428571429
Huskies_D7,49.907407407407405,30.27777777777778
Huskies_M10,58.333333333333336,31.88888888888889
