,pos_x,pos_y
Huskies_D1,31.970149253731343,70.16417910447761
Huskies_F1,69.88888888888889,64.55555555555556
Huskies_M1,50.111111111111114,57.63492063492063
Huskies_F2,60.7,57.4
Huskies_M2,57.65217391304348,38.0
Huskies_M3,45.55555555555556,51.96825396825397
Huskies_G1,10.375,46.175
Huskies_D2,34.23170731707317,30.609756097560975
Huskies_D4,51.1219512195122,9.670731707317072
Huskies_F3,65.96296296296296,44.851851851851855
Huskies_D5,52.26086956521739,89.96739130434783
Huskies_M4,50.729729729729726,30.756756756756758
Huskies_M6,61.0,32.490566037735846
Huskies_M9,50.2,60.4
