,pos_x,pos_y
Huskies_D1,35.432432432432435,69.02702702702703
Huskies_F1,72.0952380952381,61.42857142857143
Huskies_M1,51.52173913043478,58.82608695652174
Huskies_F2,63.486486486486484,62.4054054054054
Huskies_G1,15.8,48.06666666666667
Huskies_D2,38.5,61.1
Huskies_D3,37.486486486486484,30.945945945945947
Huskies_D4,53.310344827586206,10.241379310344827
Huskies_M4,46.95238095238095,57.714285714285715
Huskies_M6,53.86206896551724,43.6551724137931
Huskies_M9,55.05882352941177,62.11764705882353
Huskies_F4,78.0,90.0
Huskies_D7,50.42424242424242,85.36363636363636
Huskies_M10,62.333333333333336,59.888888888888886
