,pos_x,pos_y
Huskies_D1,40.806451612903224,29.032258064516128
Huskies_F1,73.0,54.18181818181818
Huskies_M3,46.214285714285715,47.95238095238095
Huskies_G1,11.555555555555555,42.77777777777778
Huskies_D2,38.1764705882353,58.64705882352941
Huskies_D5,54.67741935483871,12.451612903225806
Huskies_M4,59.95652173913044,71.43478260869566
Huskies_D6,35.851851851851855,78.18518518518519
Huskies_M6,55.888888888888886,41.074074074074076
Huskies_D7,63.61538461538461,86.3076923076923
Huskies_M12,70.82142857142857,36.42857142857143
